"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 05 12:29:23 CEST 2025","Thu Jun 05 12:29:29 CEST 2025","5934","","test_ganancias","","","","test_potencia[4-220]",""
"passed","Thu Jun 05 12:21:16 CEST 2025","Thu Jun 05 12:21:22 CEST 2025","5860","","test_ganancias","","","","test_potencia[1-280]",""
"passed","Thu Jun 05 12:36:47 CEST 2025","Thu Jun 05 12:36:53 CEST 2025","5858","","test_ganancias","","","","test_potencia[7-100]",""
"passed","Thu Jun 05 12:38:09 CEST 2025","Thu Jun 05 12:38:15 CEST 2025","5848","","test_ganancias","","","","test_potencia[7-220]",""
"passed","Thu Jun 05 12:27:07 CEST 2025","Thu Jun 05 12:27:13 CEST 2025","5857","","test_ganancias","","","","test_potencia[3-280]",""
"passed","Thu Jun 05 12:29:09 CEST 2025","Thu Jun 05 12:29:15 CEST 2025","5347","","test_ganancias","","","","test_potencia[4-200]",""
"passed","Thu Jun 05 12:41:31 CEST 2025","Thu Jun 05 12:41:37 CEST 2025","5845","","test_ganancias","","","","test_potencia[8-260]",""
"passed","Thu Jun 05 12:26:54 CEST 2025","Thu Jun 05 12:27:00 CEST 2025","5967","","test_ganancias","","","","test_potencia[3-260]",""
"failed","Thu Jun 05 12:36:34 CEST 2025","Thu Jun 05 12:36:40 CEST 2025","5923","","test_ganancias","","","","test_potencia[6-340]",""
"passed","Thu Jun 05 12:26:27 CEST 2025","Thu Jun 05 12:26:33 CEST 2025","5853","","test_ganancias","","","","test_potencia[3-220]",""
